Year,County,Occupation,Successful Closures,Annotation Code,Count Annotation Desc,Percent,Percent Annotation Desc
2014,Santa Clara,Community and Social Service Occupations,2,,,,
2014,Santa Clara,Computer and Mathematical Occupations,4,,,,
2014,Santa Clara,Healthcare Support Occupations,1,,,,
2014,Santa Clara,Managerial and Administrative,4,,,,
2014,Santa Clara,"Prod, Const, Operating, Maint & Material Handling",40,,,,
2014,Santa Clara,Production Occupations,1,,,,
2014,Santa Clara,"Professional, Paraprofessional and Technical",32,,,,
2014,Santa Clara,RSA Special Occupations and Miscellaneous,10,,,,
2014,Santa Clara,Sales and Related Occupations,108,,,,
2014,Santa Clara,Service Occupations,106,,,,
2014,Santa Cruz,Not Reported,6,,,,
2014,Santa Cruz,"Agricultural, Forestry, Fishing and Related",4,,,,
2014,Santa Cruz,Clerical and Administrative Support,7,,,,
2014,Santa Cruz,Computer and Mathematical Occupations,1,,,,
2014,Santa Cruz,Managerial and Administrative,1,,,,
2014,Santa Cruz,"Prod, Const, Operating, Maint & Material Handling",20,,,,
2014,Santa Cruz,"Professional, Paraprofessional and Technical",13,,,,
2014,Santa Cruz,Sales and Related Occupations,4,,,,
2014,Santa Cruz,Service Occupations,19,,,,
2014,Shasta,Not Reported,6,,,,
2014,Shasta,"Agricultural, Forestry, Fishing and Related",2,,,,
2014,Shasta,Clerical and Administrative Support,11,,,,
2014,Shasta,Managerial and Administrative,1,,,,
2014,Shasta,"Prod, Const, Operating, Maint & Material Handling",16,,,,
2014,Shasta,"Professional, Paraprofessional and Technical",6,,,,
2014,Shasta,RSA Special Occupations and Miscellaneous,3,,,,
2014,Shasta,Sales and Related Occupations,14,,,,
2014,Shasta,Service Occupations,24,,,,
2014,Sierra,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Sierra,Sales and Related Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Sierra,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Siskiyou,"Agricultural, Forestry, Fishing and Related",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Siskiyou,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Siskiyou,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Siskiyou,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Siskiyou,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Siskiyou,Sales and Related Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Siskiyou,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Solano,Not Reported,18,,,,
2014,Solano,"Agricultural, Forestry, Fishing and Related",3,,,,
2014,Solano,Clerical and Administrative Support,59,,,,
2014,Solano,Computer and Mathematical Occupations,1,,,,
2014,Solano,Healthcare Support Occupations,1,,,,
2014,Solano,Managerial and Administrative,2,,,,
2014,Solano,"Prod, Const, Operating, Maint & Material Handling",43,,,,
2014,Solano,"Professional, Paraprofessional and Technical",10,,,,
2014,Solano,RSA Special Occupations and Miscellaneous,11,,,,
2014,Solano,Sales and Related Occupations,36,,,,
2014,Solano,Service Occupations,67,,,,
2014,Sonoma,Not Reported,33,,,,
2014,Sonoma,"Agricultural, Forestry, Fishing and Related",9,,,,
2014,Sonoma,Clerical and Administrative Support,44,,,,
2014,Sonoma,Managerial and Administrative,2,,,,
2014,Sonoma,"Prod, Const, Operating, Maint & Material Handling",20,,,,
2014,Sonoma,"Professional, Paraprofessional and Technical",23,,,,
2014,Sonoma,RSA Special Occupations and Miscellaneous,37,,,,
2014,Sonoma,Sales and Related Occupations,35,,,,
2014,Sonoma,Service Occupations,44,,,,
2014,Stanislaus,Not Reported,13,,,,
2014,Stanislaus,"Agricultural, Forestry, Fishing and Related",6,,,,
2014,Stanislaus,Clerical and Administrative Support,5,,,,
2014,Stanislaus,Managerial and Administrative,2,,,,
2014,Stanislaus,"Prod, Const, Operating, Maint & Material Handling",9,,,,
2014,Stanislaus,"Professional, Paraprofessional and Technical",5,,,,
2014,Stanislaus,RSA Special Occupations and Miscellaneous,9,,,,
2014,Stanislaus,Sales and Related Occupations,5,,,,
2014,Stanislaus,Service Occupations,16,,,,
2014,Sutter,Not Reported,4,,,,
2014,Sutter,"Agricultural, Forestry, Fishing and Related",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Sutter,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Sutter,Healthcare Support Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Sutter,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Sutter,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Sutter,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Sutter,Sales and Related Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Sutter,Service Occupations,11,,,,
2014,Tehama,Not Reported,1,,,,
2014,Tehama,"Agricultural, Forestry, Fishing and Related",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Tehama,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Tehama,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Tehama,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Tehama,Service Occupations,12,,,,
2014,Trinity,Not Reported,1,,,,
2014,Trinity,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Tulare,Not Reported,44,,,,
2014,Tulare,"Agricultural, Forestry, Fishing and Related",2,,,,
2014,Tulare,Clerical and Administrative Support,8,,,,
2014,Tulare,Managerial and Administrative,2,,,,
2014,Tulare,"Prod, Const, Operating, Maint & Material Handling",30,,,,
2014,Tulare,"Professional, Paraprofessional and Technical",8,,,,
2014,Tulare,RSA Special Occupations and Miscellaneous,8,,,,
2014,Tulare,Sales and Related Occupations,5,,,,
2014,Tulare,Service Occupations,13,,,,
2014,Tuolumne,Not Reported,1,,,,
2014,Tuolumne,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Tuolumne,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Tuolumne,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Ventura,Not Reported,57,,,,
2014,Ventura,"Agricultural, Forestry, Fishing and Related",13,,,,
2014,Ventura,Business and Financial Operations Occupations,1,,,,
2014,Ventura,Clerical and Administrative Support,27,,,,
2014,Ventura,Computer and Mathematical Occupations,2,,,,
2014,Ventura,Healthcare Support Occupations,2,,,,
2014,Ventura,Managerial and Administrative,5,,,,
2014,Ventura,"Prod, Const, Operating, Maint & Material Handling",43,,,,
2014,Ventura,"Professional, Paraprofessional and Technical",33,,,,
2014,Ventura,RSA Special Occupations and Miscellaneous,6,,,,
2014,Ventura,Sales and Related Occupations,48,,,,
2014,Ventura,Service Occupations,61,,,,
2014,Yolo,Not Reported,4,,,,
2014,Yolo,Clerical and Administrative Support,13,,,,
2014,Yolo,"Prod, Const, Operating, Maint & Material Handling",15,,,,
2014,Yolo,"Professional, Paraprofessional and Technical",2,,,,
2014,Yolo,RSA Special Occupations and Miscellaneous,1,,,,
2014,Yolo,Sales and Related Occupations,3,,,,
2014,Yolo,Service Occupations,6,,,,
2014,Yuba,Not Reported,7,,,,
2014,Yuba,"Agricultural, Forestry, Fishing and Related",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Yuba,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Yuba,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Yuba,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Yuba,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Yuba,Sales and Related Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Yuba,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Alameda,Not Reported,64,,,,
2015,Alameda,"Agricultural, Forestry, Fishing and Related",4,,,,
2015,Alameda,Clerical and Administrative Support,136,,,,
2015,Alameda,Community and Social Service Occupations,1,,,,
2015,Alameda,Computer and Mathematical Occupations,5,,,,
2015,Alameda,Construction and Extraction Occupations,1,,,,
2015,Alameda,"Education, Training, and Library Occupations",1,,,,
2015,Alameda,Managerial and Administrative,6,,,,
2015,Alameda,"Prod, Const, Operating, Maint & Material Handling",135,,,,
2015,Alameda,"Professional, Paraprofessional and Technical",82,,,,
2015,Alameda,RSA Special Occupations and Miscellaneous,25,,,,
2015,Alameda,Sales and Related Occupations,28,,,,
2015,Alameda,Service Occupations,85,,,,
2015,Amador,"Agricultural, Forestry, Fishing and Related",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Amador,Managerial and Administrative,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Amador,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Amador,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Butte,Not Reported,16,,,,
2015,Butte,"Agricultural, Forestry, Fishing and Related",3,,,,
2015,Butte,Clerical and Administrative Support,25,,,,
2015,Butte,Community and Social Service Occupations,1,,,,
2015,Butte,Healthcare Support Occupations,1,,,,
2015,Butte,"Prod, Const, Operating, Maint & Material Handling",11,,,,
2015,Butte,"Professional, Paraprofessional and Technical",6,,,,
2015,Butte,RSA Special Occupations and Miscellaneous,10,,,,
2015,Butte,Sales and Related Occupations,12,,,,
2015,Butte,Service Occupations,27,,,,
2015,Calaveras,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Colusa,Not Reported,1,,,,
2015,Colusa,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Colusa,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Colusa,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Contra Costa,Not Reported,47,,,,
2015,Contra Costa,"Agricultural, Forestry, Fishing and Related",14,,,,
2015,Contra Costa,Clerical and Administrative Support,102,,,,
2015,Contra Costa,Community and Social Service Occupations,4,,,,
2015,Contra Costa,Computer and Mathematical Occupations,3,,,,
2015,Contra Costa,"Education, Training, and Library Occupations",1,,,,
2015,Contra Costa,Healthcare Support Occupations,3,,,,
2015,Contra Costa,Managerial and Administrative,6,,,,
2015,Contra Costa,"Prod, Const, Operating, Maint & Material Handling",58,,,,
2015,Contra Costa,"Professional, Paraprofessional and Technical",51,,,,
2015,Contra Costa,RSA Special Occupations and Miscellaneous,8,,,,
2015,Contra Costa,Sales and Related Occupations,41,,,,
2015,Contra Costa,Service Occupations,80,,,,
2015,Del Norte,Not Reported,2,,,,
2015,Del Norte,"Agricultural, Forestry, Fishing and Related",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Del Norte,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Del Norte,Community and Social Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Del Norte,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Del Norte,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Del Norte,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Del Norte,Sales and Related Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Del Norte,Service Occupations,11,,,,
2015,El Dorado,Not Reported,6,,,,
2015,El Dorado,Clerical and Administrative Support,2,,,,
2015,El Dorado,"Prod, Const, Operating, Maint & Material Handling",7,,,,
2015,El Dorado,"Professional, Paraprofessional and Technical",4,,,,
2015,El Dorado,RSA Special Occupations and Miscellaneous,3,,,,
2015,El Dorado,Sales and Related Occupations,9,,,,
2015,El Dorado,Service Occupations,9,,,,
2015,Fresno,Not Reported,28,,,,
2015,Fresno,"Agricultural, Forestry, Fishing and Related",6,,,,
2015,Fresno,Clerical and Administrative Support,37,,,,
2015,Fresno,Construction and Extraction Occupations,1,,,,
2015,Fresno,Healthcare Practitioners and Technical Occupations,2,,,,
2015,Fresno,Healthcare Support Occupations,1,,,,
2015,Fresno,"Prod, Const, Operating, Maint & Material Handling",77,,,,
2015,Fresno,"Professional, Paraprofessional and Technical",26,,,,
2015,Fresno,RSA Special Occupations and Miscellaneous,22,,,,
2015,Fresno,Sales and Related Occupations,14,,,,
2015,Fresno,Service Occupations,53,,,,
2015,Glenn,"Agricultural, Forestry, Fishing and Related",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Glenn,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Glenn,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Glenn,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Glenn,Sales and Related Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Glenn,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Humboldt,Not Reported,6,,,,
2015,Humboldt,Clerical and Administrative Support,9,,,,
2015,Humboldt,Community and Social Service Occupations,1,,,,
2015,Humboldt,Computer and Mathematical Occupations,1,,,,
2015,Humboldt,"Education, Training, and Library Occupations",1,,,,
2015,Humboldt,"Prod, Const, Operating, Maint & Material Handling",9,,,,
2015,Humboldt,"Professional, Paraprofessional and Technical",4,,,,
2015,Humboldt,RSA Special Occupations and Miscellaneous,2,,,,
2015,Humboldt,Sales and Related Occupations,10,,,,
2015,Humboldt,Service Occupations,8,,,,
2015,Imperial,Not Reported,18,,,,
2015,Imperial,"Agricultural, Forestry, Fishing and Related",1,,,,
2015,Imperial,Clerical and Administrative Support,4,,,,
2015,Imperial,Managerial and Administrative,1,,,,
2015,Imperial,"Prod, Const, Operating, Maint & Material Handling",16,,,,
2015,Imperial,"Professional, Paraprofessional and Technical",4,,,,
2015,Imperial,RSA Special Occupations and Miscellaneous,1,,,,
2015,Imperial,Sales and Related Occupations,5,,,,
2015,Imperial,Service Occupations,21,,,,
2015,Inyo,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Kern,Not Reported,14,,,,
2015,Kern,"Agricultural, Forestry, Fishing and Related",2,,,,
2015,Kern,Clerical and Administrative Support,25,,,,
2015,Kern,Computer and Mathematical Occupations,1,,,,
2015,Kern,Healthcare Support Occupations,1,,,,
2015,Kern,Managerial and Administrative,1,,,,
2015,Kern,"Prod, Const, Operating, Maint & Material Handling",75,,,,
2015,Kern,Production Occupations,1,,,,
2015,Kern,"Professional, Paraprofessional and Technical",13,,,,
2015,Kern,Protective Service Occupations,1,,,,
2015,Kern,RSA Special Occupations and Miscellaneous,14,,,,
2015,Kern,Sales and Related Occupations,20,,,,
2015,Kern,Service Occupations,17,,,,
2015,Kings,Not Reported,5,,,,
2015,Kings,"Agricultural, Forestry, Fishing and Related",1,,,,
2015,Kings,Clerical and Administrative Support,9,,,,
2015,Kings,Healthcare Support Occupations,1,,,,
2015,Kings,"Prod, Const, Operating, Maint & Material Handling",10,,,,
2015,Kings,"Professional, Paraprofessional and Technical",2,,,,
2015,Kings,RSA Special Occupations and Miscellaneous,1,,,,
2015,Kings,Sales and Related Occupations,9,,,,
2015,Kings,Service Occupations,7,,,,
2015,Lake,Not Reported,4,,,,
2015,Lake,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Lake,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Lake,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Lake,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Lassen,Not Reported,5,,,,
2015,Lassen,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Lassen,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Lassen,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Lassen,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Lassen,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Los Angeles,Not Reported,435,,,,
2015,Los Angeles,"Agricultural, Forestry, Fishing and Related",25,,,,
2015,Los Angeles,Business and Financial Operations Occupations,2,,,,
2015,Los Angeles,Clerical and Administrative Support,942,,,,
2015,Los Angeles,Community and Social Service Occupations,14,,,,
2015,Los Angeles,Computer and Mathematical Occupations,11,,,,
2015,Los Angeles,Construction and Extraction Occupations,35,,,,
2015,Los Angeles,"Education, Training, and Library Occupations",5,,,,
2015,Los Angeles,Healthcare Practitioners and Technical Occupations,6,,,,
2015,Los Angeles,Healthcare Support Occupations,2,,,,
2015,Los Angeles,Managerial and Administrative,26,,,,
2015,Los Angeles,"Prod, Const, Operating, Maint & Material Handling",722,,,,
2015,Los Angeles,Production Occupations,3,,,,
2015,Los Angeles,"Professional, Paraprofessional and Technical",263,,,,
2015,Los Angeles,Protective Service Occupations,2,,,,
2015,Los Angeles,RSA Special Occupations and Miscellaneous,193,,,,
2015,Los Angeles,Sales and Related Occupations,478,,,,
2015,Los Angeles,Service Occupations,635,,,,
2015,Madera,Not Reported,1,,,,
2015,Madera,Clerical and Administrative Support,3,,,,
2015,Madera,"Prod, Const, Operating, Maint & Material Handling",1,,,,
2015,Madera,"Professional, Paraprofessional and Technical",2,,,,
2015,Madera,RSA Special Occupations and Miscellaneous,4,,,,
2015,Madera,Service Occupations,1,,,,
2015,Marin,Not Reported,8,,,,
2015,Marin,Business and Financial Operations Occupations,1,,,,
2015,Marin,Clerical and Administrative Support,12,,,,
2015,Marin,Community and Social Service Occupations,1,,,,
2015,Marin,"Education, Training, and Library Occupations",2,,,,
2015,Marin,Healthcare Practitioners and Technical Occupations,1,,,,
2015,Marin,"Prod, Const, Operating, Maint & Material Handling",6,,,,
2015,Marin,"Professional, Paraprofessional and Technical",9,,,,
2015,Marin,RSA Special Occupations and Miscellaneous,5,,,,
2015,Marin,Sales and Related Occupations,11,,,,
2015,Marin,Service Occupations,8,,,,
2015,Mariposa,"Agricultural, Forestry, Fishing and Related",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Mariposa,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Mariposa,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Mendocino,Not Reported,5,,,,
2015,Mendocino,"Agricultural, Forestry, Fishing and Related",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Mendocino,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Mendocino,Managerial and Administrative,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Mendocino,"Prod, Const, Operating, Maint & Material Handling",25,,,,
2015,Mendocino,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Mendocino,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Mendocino,Sales and Related Occupations,15,,,,
2015,Mendocino,Service Occupations,19,,,,
2015,Merced,Not Reported,5,,,,
2015,Merced,"Agricultural, Forestry, Fishing and Related",2,,,,
2015,Merced,Clerical and Administrative Support,11,,,,
2015,Merced,"Education, Training, and Library Occupations",1,,,,
2015,Merced,Managerial and Administrative,1,,,,
2015,Merced,"Prod, Const, Operating, Maint & Material Handling",26,,,,
2015,Merced,"Professional, Paraprofessional and Technical",12,,,,
2015,Merced,RSA Special Occupations and Miscellaneous,4,,,,
2015,Merced,Sales and Related Occupations,7,,,,
2015,Merced,Service Occupations,17,,,,
2015,Modoc,Not Reported,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Modoc,"Agricultural, Forestry, Fishing and Related",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Modoc,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Modoc,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Modoc,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Monterey,Not Reported,16,,,,
2015,Monterey,"Agricultural, Forestry, Fishing and Related",11,,,,
2015,Monterey,Clerical and Administrative Support,16,,,,
2015,Monterey,Computer and Mathematical Occupations,1,,,,
2015,Monterey,Managerial and Administrative,3,,,,
2015,Monterey,"Prod, Const, Operating, Maint & Material Handling",10,,,,
2015,Monterey,"Professional, Paraprofessional and Technical",21,,,,
2015,Monterey,RSA Special Occupations and Miscellaneous,1,,,,
2015,Monterey,Sales and Related Occupations,22,,,,
2015,Monterey,Service Occupations,20,,,,
2015,Napa,Not Reported,8,,,,
2015,Napa,"Agricultural, Forestry, Fishing and Related",3,,,,
2015,Napa,Clerical and Administrative Support,4,,,,
2015,Napa,Computer and Mathematical Occupations,1,,,,
2015,Napa,Healthcare Practitioners and Technical Occupations,1,,,,
2015,Napa,Managerial and Administrative,1,,,,
2015,Napa,"Prod, Const, Operating, Maint & Material Handling",17,,,,
2015,Napa,"Professional, Paraprofessional and Technical",4,,,,
2015,Napa,RSA Special Occupations and Miscellaneous,4,,,,
2015,Napa,Sales and Related Occupations,14,,,,
2015,Napa,Service Occupations,21,,,,
2015,Nevada,Not Reported,1,,,,
2015,Nevada,"Agricultural, Forestry, Fishing and Related",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Nevada,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Nevada,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Nevada,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Nevada,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Nevada,Sales and Related Occupations,13,,,,
